INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING,VOX
1,T,090108,025758,08.776834N,082.431009W,1049,0,0,
2,T,090108,025759,08.776833N,082.431011W,1050,0,0,
3,T,090108,025800,08.776833N,082.431006W,1050,0,0,
4,T,090108,025801,08.776831N,082.431011W,1050,0,0,
5,T,090108,025804,08.776816N,082.431005W,1052,0,0,
6,T,090108,025805,08.776811N,082.431008W,1052,0,0,
7,T,090108,025806,08.776808N,082.431011W,1052,0,0,
8,T,090108,025807,08.776808N,082.431011W,1052,0,0,
9,T,090108,025808,08.776816N,082.431008W,1052,0,0,
10,T,090108,025809,08.776811N,082.431009W,1052,0,0,
11,T,090108,025810,08.776816N,082.431001W,1052,0,0,
12,T,090108,025811,08.776811N,082.430998W,1053,0,0,
13,T,090108,025812,08.776811N,082.430996W,1053,0,0,
14,T,090108,025813,08.776813N,082.430994W,1053,0,0,
15,T,090108,025814,08.776816N,082.430993W,1053,0,0,
16,T,090108,025815,08.776816N,082.430991W,1053,0,0,
17,T,090108,025816,08.776818N,082.430991W,1053,0,0,
18,T,090108,025817,08.776823N,082.430991W,1053,0,0,
19,T,090108,025818,08.776826N,082.430993W,1053,0,0,
20,T,090108,025819,08.776829N,082.430993W,1053,0,0,
21,T,090108,025820,08.776834N,082.430994W,1053,0,0,
22,T,090108,025821,08.776838N,082.430996W,1053,0,0,
23,T,090108,025822,08.776840N,082.430996W,1053,0,0,
24,T,090108,025823,08.776846N,082.430993W,1053,0,0,
25,T,090108,025824,08.776853N,082.430998W,1053,0,0,
26,T,090108,025825,08.776848N,082.431001W,1053,0,0,
27,T,090108,025826,08.776853N,082.431005W,1053,0,0,
28,T,090108,025827,08.776855N,082.431008W,1053,0,0,
29,T,090108,025828,08.776855N,082.431011W,1053,0,0,
30,T,090108,025829,08.776856N,082.431015W,1053,0,0,
31,T,090108,025830,08.776856N,082.431018W,1053,0,0,
32,T,090108,025831,08.776856N,082.431023W,1053,0,0,
33,T,090108,025832,08.776858N,082.431023W,1053,0,0,
34,T,090108,025833,08.776860N,082.431023W,1053,0,0,
35,T,090108,025834,08.776861N,082.431023W,1053,0,0,
36,T,090108,025835,08.776863N,082.431023W,1053,0,0,
37,T,090108,025836,08.776863N,082.431023W,1053,0,0,
38,T,090108,025837,08.776874N,082.431024W,1053,0,0,
39,T,090108,025838,08.776911N,082.431029W,1053,3,354,
40,T,090108,025839,08.776941N,082.431036W,1053,5,352,
41,T,090108,025840,08.776981N,082.431039W,1053,7,351,
42,T,090108,025841,08.777021N,082.431063W,1053,9,344,
43,T,090108,025842,08.777123N,082.431081W,1053,14,347,
44,T,090108,025843,08.777148N,082.431099W,1053,16,352,
45,T,090108,025844,08.777183N,082.431125W,1052,16,345,
46,T,090108,025845,08.777233N,082.431134W,1052,18,342,
47,T,090108,025846,08.777283N,082.431146W,1053,18,339,
48,T,090108,025847,08.777335N,082.431161W,1053,18,342,
49,T,090108,025848,08.777378N,082.431174W,1053,16,341,
50,T,090108,025849,08.777415N,082.431188W,1053,14,341,
51,T,090108,025850,08.777440N,082.431198W,1053,12,340,
52,T,090108,025851,08.777456N,082.431204W,1053,7,335,
53,T,090108,025852,08.777461N,082.431216W,1053,3,334,
54,T,090108,025853,08.777466N,082.431215W,1053,0,334,
55,T,090108,025854,08.777476N,082.431209W,1054,0,344,
56,T,090108,025855,08.777489N,082.431216W,1054,7,348,
57,T,090108,025856,08.777515N,082.431221W,1054,7,355,
58,T,090108,025857,08.777516N,082.431226W,1055,7,14,
59,T,090108,025858,08.777531N,082.431215W,1055,5,6,
60,T,090108,025859,08.777536N,082.431204W,1055,5,63,
61,T,090108,025900,08.777538N,082.431198W,1055,5,51,
62,T,090108,025901,08.777528N,082.431198W,1056,5,74,
63,T,090108,025902,08.777519N,082.431191W,1056,7,77,
64,T,090108,025903,08.777511N,082.431188W,1057,7,78,
65,T,090108,025904,08.777506N,082.431183W,1058,7,81,
66,T,090108,025905,08.777503N,082.431176W,1058,5,77,
67,T,090108,025906,08.777510N,082.431166W,1058,7,71,
68,T,090108,025907,08.777513N,082.431170W,1059,0,64,
69,T,090108,025908,08.777526N,082.431173W,1060,0,47,
70,T,090108,025909,08.777511N,082.431178W,1063,0,47,
71,T,090108,025910,08.777505N,082.431179W,1063,0,47,
72,T,090108,025911,08.777505N,082.431181W,1063,0,47,
73,T,090108,025912,08.777506N,082.431176W,1064,0,47,
74,T,090108,025913,08.777506N,082.431174W,1064,0,47,
75,T,090108,025914,08.777506N,082.431173W,1064,0,47,
76,T,090108,025915,08.777508N,082.431171W,1064,0,47,
77,T,090108,025916,08.777508N,082.431170W,1064,0,47,
78,T,090108,025917,08.777508N,082.431171W,1064,0,47,
79,T,090108,025918,08.777508N,082.431173W,1064,0,47,
80,T,090108,025919,08.777508N,082.431176W,1064,0,47,
81,T,090108,025920,08.777506N,082.431178W,1064,0,47,
82,T,090108,025921,08.777508N,082.431179W,1064,0,47,
83,T,090108,025922,08.777506N,082.431183W,1064,0,47,
84,T,090108,025923,08.777506N,082.431185W,1064,0,47,
85,T,090108,025924,08.777505N,082.431188W,1064,0,47,
86,T,090108,025925,08.777503N,082.431191W,1064,0,47,
87,T,090108,025926,08.777501N,082.431195W,1064,0,47,
88,T,090108,025927,08.777500N,082.431196W,1064,0,47,
89,T,090108,025928,08.777498N,082.431198W,1064,0,47,
90,T,090108,025929,08.777496N,082.431200W,1064,0,47,
91,T,090108,025930,08.777494N,082.431198W,1064,0,47,
92,T,090108,025931,08.777494N,082.431195W,1064,0,47,
93,T,090108,025932,08.777494N,082.431191W,1064,0,47,
94,T,090108,025933,08.777494N,082.431186W,1064,0,47,
95,T,090108,025934,08.777494N,082.431183W,1064,0,47,
96,T,090108,025935,08.777496N,082.431179W,1064,0,47,
97,T,090108,025936,08.777498N,082.431178W,1064,0,47,
98,T,090108,025937,08.777500N,082.431174W,1064,0,47,
99,T,090108,025938,08.777500N,082.431171W,1064,0,47,
100,T,090108,025939,08.777494N,082.431166W,1064,3,148,
101,T,090108,025940,08.777470N,082.431166W,1065,5,154,
102,T,090108,025941,08.777444N,082.431166W,1065,9,165,
103,T,090108,025942,08.777418N,082.431163W,1065,11,170,
104,T,090108,025943,08.777384N,082.431150W,1065,12,161,
105,T,090108,025944,08.777348N,082.431136W,1066,14,162,
106,T,090108,025945,08.777311N,082.431121W,1066,14,152,
107,T,090108,025946,08.777280N,082.431103W,1066,16,148,
108,T,090108,025947,08.777246N,082.431083W,1067,18,160,
109,T,090108,025948,08.777201N,082.431069W,1067,16,162,
110,T,090108,025949,08.777153N,082.431056W,1068,18,162,
111,T,090108,025950,08.777105N,082.431039W,1067,16,164,
112,T,090108,025951,08.777054N,082.431024W,1068,18,159,
113,T,090108,025952,08.776961N,082.431009W,1069,22,166,
114,T,090108,025953,08.776885N,082.431003W,1069,24,172,
115,T,090108,025954,08.776810N,082.430998W,1070,24,173,
116,T,090108,025955,08.776751N,082.430998W,1070,20,178,
117,T,090108,025956,08.776684N,082.430994W,1070,20,176,
118,T,090108,025957,08.776631N,082.431001W,1070,16,184,
119,T,090108,025958,08.776591N,082.431003W,1070,12,182,
120,T,090108,025959,08.776564N,082.431016W,1071,11,167,
121,T,090108,030000,08.776536N,082.431041W,1071,14,203,
122,T,090108,030001,08.776488N,082.431063W,1070,14,205,
123,T,090108,030002,08.776446N,082.431110W,1071,14,230,
124,T,090108,030003,08.776411N,082.431156W,1072,16,246,
125,T,090108,030004,08.776358N,082.431174W,1074,14,255,
126,T,090108,030005,08.776346N,082.431216W,1073,16,255,
127,T,090108,030006,08.776336N,082.431264W,1073,14,261,
128,T,090108,030007,08.776323N,082.431309W,1074,14,268,
129,T,090108,030008,08.776333N,082.431348W,1075,14,275,
130,T,090108,030009,08.776344N,082.431396W,1075,14,275,
131,T,090108,030010,08.776353N,082.431436W,1075,14,272,
132,T,090108,030011,08.776353N,082.431476W,1075,12,270,
133,T,090108,030012,08.776365N,082.431511W,1075,12,282,
134,T,090108,030013,08.776385N,082.431544W,1075,12,295,
135,T,090108,030014,08.776428N,082.431571W,1075,14,320,
136,T,090108,030015,08.776484N,082.431598W,1076,18,333,
137,T,090108,030016,08.776558N,082.431623W,1076,22,342,
138,T,090108,030017,08.776635N,082.431655W,1076,22,346,
139,T,090108,030018,08.776704N,082.431658W,1077,24,349,
140,T,090108,030019,08.776773N,082.431673W,1077,22,347,
141,T,090108,030020,08.776831N,082.431683W,1077,20,344,
142,T,090108,030021,08.776888N,082.431696W,1077,22,345,
143,T,090108,030022,08.776953N,082.431705W,1078,24,345,
144,T,090108,030023,08.777025N,082.431728W,1078,24,346,
145,T,090108,030024,08.777088N,082.431741W,1078,24,346,
146,T,090108,030025,08.777151N,082.431759W,1078,22,347,
147,T,090108,030026,08.777216N,082.431766W,1079,22,349,
148,T,090108,030027,08.777274N,082.431774W,1079,20,350,
149,T,090108,030028,08.777330N,082.431788W,1079,20,347,
150,T,090108,030029,08.777381N,082.431801W,1079,20,347,
151,T,090108,030030,08.777431N,082.431816W,1080,20,345,
152,T,090108,030031,08.777481N,082.431829W,1080,20,341,
153,T,090108,030032,08.777530N,082.431846W,1080,16,342,
154,T,090108,030033,08.777573N,082.431861W,1081,16,337,
155,T,090108,030034,08.777600N,082.431886W,1081,14,322,
156,T,090108,030035,08.777619N,082.431926W,1082,16,302,
157,T,090108,030036,08.777628N,082.431971W,1082,18,285,
158,T,090108,030037,08.777634N,082.432034W,1083,18,280,
159,T,090108,030038,08.777641N,082.432066W,1083,18,278,
160,T,090108,030039,08.777648N,082.432111W,1083,18,276,
161,T,090108,030040,08.777624N,082.432153W,1085,20,277,
162,T,090108,030041,08.777624N,082.432201W,1086,20,278,
163,T,090108,030042,08.777626N,082.432244W,1088,20,276,
164,T,090108,030043,08.777628N,082.432293W,1089,20,279,
165,T,090108,030044,08.777638N,082.432340W,1089,18,284,
166,T,090108,030045,08.777646N,082.432375W,1090,14,284,
167,T,090108,030046,08.777656N,082.432403W,1092,12,286,
168,T,090108,030047,08.777668N,082.432424W,1093,9,293,
169,T,090108,030048,08.777676N,082.432449W,1094,7,307,
170,T,090108,030049,08.777690N,082.432463W,1096,5,306,
171,T,090108,030050,08.777698N,082.432468W,1096,5,329,
172,T,090108,030051,08.777713N,082.432473W,1097,5,315,
173,T,090108,030052,08.777726N,082.432483W,1097,5,298,
174,T,090108,030053,08.777748N,082.432486W,1097,7,338,
175,T,090108,030054,08.777783N,082.432491W,1097,11,350,
176,T,090108,030055,08.777831N,082.432479W,1097,18,352,
177,T,090108,030056,08.777884N,082.432486W,1097,20,354,
178,T,090108,030057,08.777953N,082.432478W,1097,22,354,
179,T,090108,030058,08.778023N,082.432473W,1097,25,356,
180,T,090108,030059,08.778098N,082.432464W,1097,29,359,
181,T,090108,030100,08.778188N,082.432448W,1097,35,5,
182,T,090108,030101,08.778290N,082.432433W,1098,40,8,
183,T,090108,030102,08.778398N,082.432416W,1098,40,10,
184,T,090108,030103,08.778504N,082.432398W,1099,42,10,
185,T,090108,030104,08.778618N,082.432379W,1100,44,11,
186,T,090108,030105,08.778733N,082.432363W,1101,46,12,
187,T,090108,030106,08.778848N,082.432358W,1102,46,10,
188,T,090108,030107,08.778973N,082.432341W,1102,51,10,
189,T,090108,030108,08.779100N,082.432334W,1101,50,9,
190,T,090108,030109,08.779224N,082.432313W,1102,48,4,
191,T,090108,030110,08.779343N,082.432300W,1102,50,4,
192,T,090108,030111,08.779475N,082.432295W,1103,51,2,
193,T,090108,030112,08.779605N,082.432298W,1103,50,0,
194,T,090108,030113,08.779726N,082.432293W,1104,50,1,
195,T,090108,030114,08.779859N,082.432304W,1105,50,1,
196,T,090108,030115,08.779988N,082.432303W,1106,50,2,
197,T,090108,030116,08.780110N,082.432304W,1107,42,0,
198,T,090108,030117,08.780209N,082.432304W,1108,37,356,
199,T,090108,030118,08.780290N,082.432311W,1109,31,352,
200,T,090108,030119,08.780351N,082.432321W,1110,22,354,
201,T,090108,030120,08.780395N,082.432324W,1111,16,343,
202,T,090108,030121,08.780433N,082.432338W,1112,16,342,
203,T,090108,030122,08.780473N,082.432355W,1113,14,328,
204,T,090108,030123,08.780491N,082.432391W,1113,16,293,
205,T,090108,030124,08.780481N,082.432453W,1114,18,272,
206,T,090108,030125,08.780481N,082.432518W,1115,25,264,
207,T,090108,030126,08.780468N,082.432586W,1115,27,260,
208,T,090108,030127,08.780446N,082.432666W,1116,27,254,
209,T,090108,030128,08.780428N,082.432730W,1116,25,259,
210,T,090108,030129,08.780410N,082.432796W,1116,24,251,
211,T,090108,030130,08.780389N,082.432860W,1115,18,258,
212,T,090108,030131,08.780378N,082.432908W,1115,14,253,
213,T,090108,030132,08.780366N,082.432941W,1114,7,256,
214,T,090108,030133,08.780358N,082.432963W,1113,3,266,
215,T,090108,030134,08.780358N,082.432981W,1113,3,289,
216,T,090108,030135,08.780368N,082.432991W,1113,3,276,
217,T,090108,030136,08.780373N,082.433004W,1112,5,281,
218,T,090108,030137,08.780374N,082.433026W,1112,7,275,
219,T,090108,030138,08.780378N,082.433061W,1112,11,275,
220,T,090108,030139,08.780380N,082.433098W,1111,14,269,
221,T,090108,030140,08.780376N,082.433143W,1110,16,266,
222,T,090108,030141,08.780363N,082.433184W,1110,18,264,
223,T,090108,030142,08.780360N,082.433239W,1110,20,268,
224,T,090108,030143,08.780368N,082.433305W,1110,24,275,
225,T,090108,030144,08.780393N,082.433383W,1110,27,285,
226,T,090108,030145,08.780421N,082.433451W,1109,27,291,
227,T,090108,030146,08.780461N,082.433523W,1109,29,295,
228,T,090108,030147,08.780501N,082.433603W,1109,33,297,
229,T,090108,030148,08.780540N,082.433684W,1108,33,299,
230,T,090108,030149,08.780576N,082.433766W,1109,33,301,
231,T,090108,030150,08.780628N,082.433843W,1108,35,300,
232,T,090108,030151,08.780670N,082.433923W,1108,35,296,
233,T,090108,030152,08.780703N,082.434005W,1107,35,293,
234,T,090108,030153,08.780720N,082.434083W,1107,31,285,
235,T,090108,030154,08.780726N,082.434163W,1106,31,279,
236,T,090108,030155,08.780728N,082.434238W,1106,29,275,
237,T,090108,030156,08.780729N,082.434313W,1106,29,272,
238,T,090108,030157,08.780644N,082.434384W,1104,27,254,
239,T,090108,030158,08.780618N,082.434446W,1104,25,252,
240,T,090108,030159,08.780585N,082.434533W,1104,25,250,
241,T,090108,030200,08.780573N,082.434598W,1103,27,251,
242,T,090108,030201,08.780533N,082.434651W,1103,24,243,
243,T,090108,030202,08.780485N,082.434718W,1102,29,242,
244,T,090108,030203,08.780478N,082.434775W,1102,27,239,
245,T,090108,030204,08.780440N,082.434840W,1101,27,240,
246,T,090108,030205,08.780398N,082.434906W,1101,29,240,
247,T,090108,030206,08.780335N,082.434963W,1101,29,232,
248,T,090108,030207,08.780276N,082.435028W,1100,29,232,
249,T,090108,030208,08.780233N,082.435093W,1100,33,231,
250,T,090108,030209,08.780180N,082.435168W,1100,33,232,
251,T,090108,030210,08.780126N,082.435244W,1100,35,234,
252,T,090108,030211,08.780073N,082.435325W,1101,33,235,
253,T,090108,030212,08.780024N,082.435396W,1100,33,237,
254,T,090108,030213,08.779963N,082.435475W,1101,37,235,
255,T,090108,030214,08.779909N,082.435553W,1101,37,236,
256,T,090108,030215,08.779864N,082.435626W,1100,37,238,
257,T,090108,030216,08.779809N,082.435689W,1100,37,235,
258,T,090108,030217,08.779755N,082.435768W,1100,35,235,
259,T,090108,030218,08.779689N,082.435859W,1100,35,229,
260,T,090108,030219,08.779626N,082.435939W,1101,33,229,
261,T,090108,030220,08.779563N,082.435989W,1101,35,221,
262,T,090108,030221,08.779491N,082.436028W,1100,33,218,
263,T,090108,030222,08.779415N,082.436070W,1100,31,212,
264,T,090108,030223,08.779371N,082.436096W,1100,29,208,
265,T,090108,030224,08.779313N,082.436126W,1100,27,204,
266,T,090108,030225,08.779236N,082.436168W,1100,29,205,
267,T,090108,030226,08.779134N,082.436209W,1100,31,202,
268,T,090108,030227,08.779024N,082.436235W,1100,35,202,
269,T,090108,030228,08.778934N,082.436269W,1100,35,203,
270,T,090108,030229,08.778849N,082.436303W,1100,31,203,
271,T,090108,030230,08.778788N,082.436344W,1099,29,210,
272,T,090108,030231,08.778726N,082.436384W,1100,29,211,
273,T,090108,030232,08.778658N,082.436441W,1100,29,212,
274,T,090108,030233,08.778595N,082.436485W,1100,29,215,
275,T,090108,030234,08.778486N,082.436541W,1101,31,221,
276,T,090108,030235,08.778441N,082.436615W,1101,33,234,
277,T,090108,030236,08.778426N,082.436691W,1101,31,251,
278,T,090108,030237,08.778393N,082.436761W,1102,29,261,
279,T,090108,030238,08.778385N,082.436813W,1103,25,281,
280,T,090108,030239,08.778413N,082.436855W,1104,27,304,
281,T,090108,030240,08.778481N,082.436886W,1104,29,329,
282,T,090108,030241,08.778554N,082.436904W,1105,25,341,
283,T,090108,030242,08.778631N,082.436918W,1105,25,347,
284,T,090108,030243,08.778695N,082.436921W,1105,22,355,
285,T,090108,030244,08.778749N,082.436909W,1106,22,5,
286,T,090108,030245,08.778801N,082.436898W,1106,22,9,
287,T,090108,030246,08.778854N,082.436883W,1106,22,17,
288,T,090108,030247,08.778914N,082.436861W,1106,24,18,
289,T,090108,030248,08.778986N,082.436838W,1107,27,18,
290,T,090108,030249,08.779063N,082.436800W,1108,33,17,
291,T,090108,030250,08.779145N,082.436758W,1109,31,20,
292,T,090108,030251,08.779218N,082.436718W,1110,33,19,
293,T,090108,030252,08.779303N,082.436681W,1112,35,18,
294,T,090108,030253,08.779390N,082.436644W,1113,33,17,
295,T,090108,030254,08.779469N,082.436601W,1114,33,21,
296,T,090108,030255,08.779558N,082.436563W,1116,35,20,
297,T,090108,030256,08.779644N,082.436521W,1117,35,22,
298,T,090108,030257,08.779736N,082.436488W,1118,38,24,
299,T,090108,030258,08.779830N,082.436456W,1119,37,21,
300,T,090108,030259,08.779911N,082.436431W,1120,29,23,
301,T,090108,030300,08.779971N,082.436409W,1121,24,27,
302,T,090108,030301,08.780088N,082.436413W,1121,35,17,
303,T,090108,030302,08.780201N,082.436391W,1123,38,17,
304,T,090108,030303,08.780315N,082.436373W,1124,37,13,
305,T,090108,030304,08.780405N,082.436343W,1125,37,10,
306,T,090108,030306,08.780589N,082.436391W,1127,35,359,
307,T,090108,030308,08.780751N,082.436416W,1129,35,344,
308,T,090108,030309,08.780838N,082.436463W,1130,37,335,
309,T,090108,030311,08.781010N,082.436570W,1131,44,321,
310,T,090108,030312,08.781111N,082.436601W,1132,48,316,
311,T,090108,030313,08.781185N,082.436576W,1133,50,328,
312,T,090108,030315,08.781343N,082.436508W,1134,33,350,
313,T,090108,030317,08.781500N,082.436433W,1135,29,17,
314,T,090108,030318,08.781576N,082.436376W,1136,31,18,
315,T,090108,030319,08.781653N,082.436344W,1136,31,21,
316,T,090108,030320,08.781730N,082.436308W,1137,31,20,
317,T,090108,030321,08.781815N,082.436280W,1137,31,8,
318,T,090108,030323,08.781980N,082.436253W,1139,31,0,
319,T,090108,030324,08.782059N,082.436265W,1140,31,359,
320,T,090108,030325,08.782143N,082.436254W,1141,31,355,
321,T,090108,030326,08.782206N,082.436241W,1142,29,350,
322,T,090108,030327,08.782263N,082.436214W,1143,27,355,
323,T,090108,030328,08.782343N,082.436206W,1144,27,1,
324,T,090108,030329,08.782420N,082.436200W,1145,27,9,
325,T,090108,030330,08.782489N,082.436179W,1146,27,15,
326,T,090108,030331,08.782564N,082.436168W,1148,27,16,
327,T,090108,030332,08.782639N,082.436146W,1149,29,14,
328,T,090108,030333,08.782726N,082.436108W,1150,31,16,
329,T,090108,030334,08.782811N,082.436079W,1151,31,12,
330,T,090108,030335,08.782895N,082.436068W,1152,33,5,
331,T,090108,030337,08.783058N,082.436049W,1155,31,10,
332,T,090108,030338,08.783146N,082.436049W,1156,29,4,
333,T,090108,030339,08.783241N,082.436070W,1157,35,354,
334,T,090108,030340,08.783329N,082.436078W,1158,35,355,
335,T,090108,030341,08.783425N,082.436093W,1159,37,358,
336,T,090108,030342,08.783508N,082.436101W,1160,31,359,
337,T,090108,030344,08.783703N,082.436119W,1158,33,0,
338,T,090108,030345,08.783798N,082.436148W,1157,35,358,
339,T,090108,030346,08.783885N,082.436158W,1157,33,353,
340,T,090108,030347,08.783960N,082.436221W,1157,38,327,
341,T,090108,030348,08.784034N,082.436276W,1154,35,319,
342,T,090108,030349,08.784094N,082.436333W,1152,31,318,
343,T,090108,030350,08.784154N,082.436399W,1149,31,317,
344,T,090108,030351,08.784211N,082.436486W,1146,33,319,
345,T,090108,030352,08.784278N,082.436583W,1144,37,317,
346,T,090108,030353,08.784338N,082.436673W,1141,35,315,
347,T,090108,030354,08.784406N,082.436783W,1142,37,317,
348,T,090108,030355,08.784461N,082.436834W,1142,38,322,
349,T,090108,030356,08.784531N,082.436885W,1142,37,319,
350,T,090108,030357,08.784584N,082.436949W,1139,35,317,
351,T,090108,030358,08.784649N,082.437014W,1138,31,319,
352,T,090108,030359,08.784708N,082.437096W,1137,33,316,
353,T,090108,030400,08.784763N,082.437166W,1137,33,307,
354,T,090108,030401,08.784828N,082.437233W,1138,33,314,
355,T,090108,030402,08.784896N,082.437296W,1138,31,313,
356,T,090108,030403,08.784963N,082.437368W,1139,33,312,
357,T,090108,030404,08.785038N,082.437436W,1139,33,317,
358,T,090108,030405,08.785111N,082.437493W,1140,33,324,
359,T,090108,030406,08.785181N,082.437541W,1140,29,323,
360,T,090108,030407,08.785241N,082.437593W,1140,27,323,
361,T,090108,030408,08.785310N,082.437648W,1141,27,327,
362,T,090108,030409,08.785373N,082.437686W,1141,24,327,
363,T,090108,030410,08.785436N,082.437728W,1142,24,328,
364,T,090108,030411,08.785500N,082.437781W,1143,24,325,
365,T,090108,030412,08.785540N,082.437814W,1143,20,320,
366,T,090108,030413,08.785585N,082.437850W,1143,20,323,
367,T,090108,030414,08.785646N,082.437879W,1144,22,331,
368,T,090108,030415,08.785706N,082.437913W,1144,24,329,
369,T,090108,030416,08.785766N,082.437958W,1144,25,323,
370,T,090108,030417,08.785813N,082.437998W,1144,24,322,
371,T,090108,030418,08.785868N,082.438051W,1144,25,317,
372,T,090108,030419,08.785918N,082.438108W,1145,25,317,
373,T,090108,030420,08.785959N,082.438156W,1146,25,320,
374,T,090108,030421,08.786011N,082.438204W,1146,25,322,
375,T,090108,030422,08.786060N,082.438255W,1146,24,318,
376,T,090108,030423,08.786073N,082.438336W,1149,24,301,
377,T,090108,030424,08.786060N,082.438423W,1149,29,278,
378,T,090108,030425,08.786084N,082.438538W,1149,31,271,
379,T,090108,030426,08.786069N,082.438636W,1152,31,260,
380,T,090108,030427,08.786048N,082.438730W,1152,33,255,
381,T,090108,030428,08.786011N,082.438820W,1153,33,245,
382,T,090108,030429,08.785956N,082.438884W,1156,31,242,
383,T,090108,030430,08.785906N,082.438968W,1156,33,239,
384,T,090108,030431,08.785845N,082.439043W,1159,35,241,
385,T,090108,030432,08.785774N,082.439128W,1161,35,236,
386,T,090108,030433,08.785705N,082.439186W,1167,33,236,
387,T,090108,030434,08.785643N,082.439251W,1168,35,229,
388,T,090108,030435,08.785590N,082.439323W,1169,33,229,
389,T,090108,030436,08.785536N,082.439381W,1169,29,223,
390,T,090108,030437,08.785471N,082.439423W,1171,27,213,
391,T,090108,030438,08.785398N,082.439446W,1173,25,204,
392,T,090108,030439,08.785338N,082.439471W,1174,25,200,
393,T,090108,030440,08.785275N,082.439491W,1174,27,195,
394,T,090108,030441,08.785203N,082.439504W,1175,29,193,
395,T,090108,030442,08.785119N,082.439551W,1175,31,195,
396,T,090108,030443,08.785044N,082.439586W,1176,31,201,
397,T,090108,030444,08.784928N,082.439588W,1183,27,195,
398,T,090108,030445,08.784868N,082.439611W,1184,25,197,
399,T,090108,030446,08.784811N,082.439635W,1184,24,200,
400,T,090108,030447,08.784755N,082.439678W,1187,24,219,
401,T,090108,030448,08.784700N,082.439746W,1189,29,241,
402,T,090108,030449,08.784670N,082.439851W,1190,35,252,
403,T,090108,030450,08.784661N,082.439943W,1191,33,266,
404,T,090108,030451,08.784659N,082.440024W,1193,33,276,
405,T,090108,030452,08.784681N,082.440110W,1194,31,285,
406,T,090108,030453,08.784740N,082.440181W,1195,33,305,
407,T,090108,030454,08.784805N,082.440234W,1195,31,317,
408,T,090108,030455,08.784891N,082.440279W,1196,35,328,
409,T,090108,030456,08.784966N,082.440319W,1196,35,330,
410,T,090108,030457,08.785050N,082.440353W,1197,35,336,
411,T,090108,030458,08.785146N,082.440386W,1197,40,340,
412,T,090108,030459,08.785235N,082.440421W,1198,38,337,
413,T,090108,030500,08.785338N,082.440468W,1199,42,337,
414,T,090108,030501,08.785439N,082.440506W,1199,42,338,
415,T,090108,030502,08.785526N,082.440546W,1200,42,337,
416,T,090108,030503,08.785621N,082.440586W,1200,42,337,
417,T,090108,030504,08.785726N,082.440628W,1201,44,336,
418,T,090108,030505,08.785838N,082.440678W,1201,42,332,
419,T,090108,030506,08.785935N,082.440713W,1202,40,335,
420,T,090108,030507,08.786031N,082.440753W,1203,38,335,
421,T,090108,030508,08.786119N,082.440793W,1203,37,333,
422,T,090108,030509,08.786198N,082.440838W,1204,33,330,
423,T,090108,030510,08.786271N,082.440884W,1204,33,328,
424,T,090108,030511,08.786341N,082.440926W,1205,31,327,
425,T,090108,030512,08.786406N,082.440980W,1205,29,323,
426,T,090108,030513,08.786468N,082.441036W,1206,29,319,
427,T,090108,030514,08.786523N,082.441081W,1206,27,320,
428,T,090108,030515,08.786578N,082.441139W,1207,29,315,
429,T,090108,030516,08.786630N,082.441201W,1207,29,313,
430,T,090108,030517,08.786701N,082.441298W,1208,33,316,
431,T,090108,030518,08.786780N,082.441366W,1208,37,319,
432,T,090108,030519,08.786846N,082.441430W,1209,35,319,
433,T,090108,030520,08.786908N,082.441493W,1209,33,316,
434,T,090108,030521,08.786969N,082.441550W,1210,33,316,
435,T,090108,030522,08.787025N,082.441603W,1210,31,316,
436,T,090108,030523,08.787086N,082.441658W,1211,31,320,
437,T,090108,030524,08.787144N,082.441710W,1211,31,320,
438,T,090108,030525,08.787210N,082.441775W,1211,33,319,
439,T,090108,030526,08.787274N,082.441854W,1212,35,317,
440,T,090108,030527,08.787333N,082.441916W,1212,35,318,
441,T,090108,030528,08.787386N,082.441981W,1212,33,319,
442,T,090108,030529,08.787453N,082.442040W,1213,33,313,
443,T,090108,030530,08.787476N,082.442151W,1215,29,310,
444,T,090108,030531,08.787511N,082.442231W,1215,25,312,
445,T,090108,030532,08.787565N,082.442308W,1216,27,315,
446,T,090108,030533,08.787624N,082.442374W,1217,27,320,
447,T,090108,030534,08.787673N,082.442426W,1218,25,320,
448,T,090108,030535,08.787719N,082.442468W,1218,22,319,
449,T,090108,030536,08.787758N,082.442511W,1218,18,314,
450,T,090108,030537,08.787779N,082.442536W,1219,16,314,
451,T,090108,030538,08.787816N,082.442569W,1220,16,319,
452,T,090108,030539,08.787846N,082.442594W,1221,12,326,
453,T,090108,030540,08.787875N,082.442616W,1221,14,300,
454,T,090108,030541,08.787901N,082.442656W,1222,16,309,
455,T,090108,030542,08.787931N,082.442691W,1222,12,316,
456,T,090108,030543,08.787958N,082.442720W,1222,16,303,
457,T,090108,030544,08.787984N,082.442756W,1222,12,292,
458,T,090108,030545,08.787998N,082.442791W,1222,12,277,
459,T,090108,030546,08.788004N,082.442826W,1222,9,246,
460,T,090108,030547,08.787999N,082.442846W,1221,7,254,
461,T,090108,030548,08.787998N,082.442870W,1221,9,276,
462,T,090108,030549,08.787999N,082.442903W,1221,14,277,
463,T,090108,030550,08.787996N,082.442946W,1220,16,267,
464,T,090108,030551,08.787996N,082.442983W,1220,14,264,
